file1;file2;kofola_fast_early_cnt-runtime;kofola_fast_early_cnt-retcode;kofola_fast_early_cnt-states_cnt;kofola_fast_early_plus_cnt-runtime;kofola_fast_early_plus_cnt-retcode;kofola_fast_early_plus_cnt-states_cnt;kofola_fast_dir_cnt-runtime;kofola_fast_dir_cnt-retcode;kofola_fast_dir_cnt-states_cnt;kofola_fast_gfee_cnt-runtime;kofola_fast_gfee_cnt-retcode;kofola_fast_gfee_cnt-states_cnt;kofola_fast_cnt-runtime;kofola_fast_cnt-retcode;kofola_fast_cnt-states_cnt;autfilt_64_cnt-runtime;autfilt_64_cnt-retcode;autfilt_64_cnt-states_cnt
automata/termination/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c_Iteration5_A.ba.hoa;automata/termination/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c_Iteration5_B.ba.hoa;0.0;1;39;0.0;1;39;0.02;1;39;0.0;1;39;0.0;1;39;0.0;1;170
automata/termination/HarrisLalNoriRajamani-SAS2010-Fig1_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/HarrisLalNoriRajamani-SAS2010-Fig1_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;8;0.01;1;8;0.0;1;8;0.0;1;8;0.0;1;8;0.0;1;22
automata/termination/HarrisLalNoriRajamani-SAS2010-Fig1_true-termination_true-no-overflow.c_Iteration3_A.ba.hoa;automata/termination/HarrisLalNoriRajamani-SAS2010-Fig1_true-termination_true-no-overflow.c_Iteration3_B.ba.hoa;0.0;1;13;0.01;1;13;0.0;1;13;0.0;1;13;0.0;1;13;0.0;1;99
automata/termination/KroeningSharyginaTsitovichWintersteiger-CAV2010-Fig1_true-termination_true-no-overflow.c_Iteration3_A.ba.hoa;automata/termination/KroeningSharyginaTsitovichWintersteiger-CAV2010-Fig1_true-termination_true-no-overflow.c_Iteration3_B.ba.hoa;0.0;1;10;0.0;1;10;0.0;1;10;0.0;1;10;0.0;1;10;0.0;1;9
automata/termination/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;7;0.0;1;7;0.0;1;7;0.0;1;7;0.0;1;7;0.0;1;8
automata/termination/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination_true-no-overflow.c_Iteration3_A.ba.hoa;automata/termination/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination_true-no-overflow.c_Iteration3_B.ba.hoa;0.0;1;27;0.0;1;27;0.05;1;27;0.0;1;27;0.0;1;27;0.0;1;167
automata/termination/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination_true-no-overflow.c_Iteration4_A.ba.hoa;automata/termination/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination_true-no-overflow.c_Iteration4_B.ba.hoa;0.02;1;78;0.02;1;78;809.54;1;78;0.02;1;78;0.02;1;78;0.03;1;16215
automata/termination/LeikeHeizmann-TACAS2014-Ex9_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/LeikeHeizmann-TACAS2014-Ex9_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;6;0.0;1;6;0.0;1;6;0.0;1;6;0.0;1;6;0.0;1;15
automata/termination/Masse-VMCAI2014-Ex6_true-termination.c_Iteration2_A.ba.hoa;automata/termination/Masse-VMCAI2014-Ex6_true-termination.c_Iteration2_B.ba.hoa;0.0;1;13;0.0;1;13;0.0;1;13;0.0;1;13;0.0;1;13;0.0;1;9
automata/termination/Masse-VMCAI2014-Fig1a_true-termination.c_Iteration3_A.ba.hoa;automata/termination/Masse-VMCAI2014-Fig1a_true-termination.c_Iteration3_B.ba.hoa;0.0;1;8;0.0;1;8;0.0;1;8;0.0;1;8;0.0;1;8;0.0;1;9
